,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
5265,ASDA,2021-02-04, Technician,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,5.0,5.0,5.0,5.0,5.0,5.0,o,x,o,happy place,"bad furniture, great food. amazing people","hard days, lots of work"
9608,Accor,2016-04-23, GSA,Current Employee,"Perth, Western Australia, Western Australia",2,3.0,4.0,,2.0,2.0,3.0,x,o,x,GSA Multiple hotels,"Global chain, easy relocation opportunities. some great staff. Good independence working encouraged to self operate.","Every hotel its its own kingdom run differently with different cultures. 

Owners have no real reason to spend money as each hotel is individually owned so they wont benefit from the increase in brand reputation, this results in many run down hotel rooms and facilities. 

Accor prides itself on running hotels cheaper, often at the expense of guest and staff experience, prepare to spend your life apologizing for the owners decision to not upgrade the 15 year old rooms etc. 

Many times  I've seen a promotion offered internally, only for the staff to be told that we no longer require it as a ""manager position"" etc so it will be the same job just no salary increase. Leaving the staff member with an increased work load but no salary increase or even title recognition, lost a few good staff this way."
9920,Accor,2019-07-25, Reception,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1.0,1.0,,1.0,1.0,1.0,o,o,o,stay away,"none- really bad
worse place i have ever worked","poor management
passive aggressive management
greedy management
no work life balance"
10010,Accor,2020-04-15, Regional Technical Manager,Current Employee,"Perth, Western Australia, Western Australia",4,4.0,4.0,,4.0,4.0,4.0,v,v,r,Good,international hotel company widely recognize,"As a large multinational companies, local approach is not always the focus"
10127,Accor,2020-11-09, Anonymous Employee,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",4,3.0,4.0,5.0,4.0,3.0,4.0,v,v,v,Hotel company,"Great place to work, company looks after its people.",Systems can be an issue
10187,Accor,2021-01-17, Reservations Agent,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Worst ever- do not go here,There are actually no pros,Many cons- incompetent management- poor working culture
10222,Accor,2021-02-19, Night Manager,Current Employee,"Perth, Western Australia, Western Australia",5,4.0,4.0,5.0,5.0,2.0,4.0,v,v,r,Good Company,"Loyal, support development, ethical company",Industry as a whole is low paid
11864,Adecco,2017-04-07, Barista,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,4.0,,3.0,4.0,4.0,v,r,v,"Very friendly staff, had a great time working with everyone","I had to submit employment paperwork from Adecco Melbourne offices for work in Adelaide. The staff in both cities made it easy for me, I then worked for them for over 4 months. Their staff are all top-notch.",I don't remember having any problems.
13148,Adecco,2020-12-24, Process Worker,"Current Employee, more than 3 years","Dandenong South, Victoria",5,5.0,4.0,4.0,4.0,,,v,o,o,Factory hand wages,Great consultants to work with,None that I have encountered so far
13386,Adecco,2021-05-20, Data Entry Operator,"Former Employee, less than 1 year","Rosehill, New South Wales, New South Wales",5,2.0,5.0,4.0,2.0,1.0,4.0,v,v,v,Addeco Data Entry,The environment was chill and supervisors are chill,Its data entry so its tedious work
16133,American-Express,2015-08-01, Marketing Executive,"Current Employee, more than 5 years","Victoria, England, England",4,4.0,3.0,,3.0,2.0,2.0,v,v,r,Good work life balance,Good work life balance and good career progression opportunities,Compensation is not great for the work load and responsibilities given
20716,American-Express,2020-04-15, Customer Service Representative,Former Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,American Express International,"Very promising job
Excellent Management
Rewarding job when it comes to salary and comission",Cant say any negative for this company
25238,Aon,2017-02-03, Commercial Account Executive,Current Employee,"Victoria, BC",4,4.0,4.0,,4.0,4.0,4.0,v,o,v,Commercial Account Executive,Opportunity for advancement and specialization,Old boys network is thriving
27746,Aon,2021-02-24, Service Specialist,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,v,o,Good,"Nice colleagues, Enjoyable working environment, employee welfare",Not the highest paying company
32496,Apple,2015-05-15, Creative,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,4.0,5.0,v,v,v,Great place to work,Great place to work in a great environment,hard to point out cons.
33132,Apple,2015-08-12, Family Room Specialist,"Current Employee, less than 1 year",Victoria,3,2.0,4.0,,1.0,2.0,3.0,v,v,r,Great for part time students,Collection of likeminded individuals with a great culture.,Management seems to be two faced.
33195,Apple,2015-08-18, Sales Specialist,"Current Employee, more than 1 year","Garden City, Victoria",4,3.0,4.0,,3.0,3.0,4.0,v,o,v,Apple Sales,"Decent discounts for self, family and friends. Very positive.",Need to work with many different kinds of people and customers.
33577,Apple,2015-10-09, Specialist,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3.0,4.0,,4.0,3.0,3.0,v,r,x,Changed a lot when Steve Died,"It was really nice before Steve died, everything was just about showing the customer how great the products and technology was.",Then it changed.... the management started focussing on making us sell things and started to expect us to sell pretty hard
34318,Apple,2016-01-27, Mac Genius,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,1.0,4.0,,3.0,3.0,2.0,v,v,r,Apple has CULTure,Pay is fairly nice. Working with people is something I love. You get to be a Doctor for customers devices. Freedom to do what you want for the customer,"People can be very entitled and arrogant. Work life balance doesn't exist here. At my store management is not there for you, worried about their salary and policy"
