,location
"San Francisco, CA",7371
"Redmond, WA",6812
"Toronto, ON",6752
"Atlanta, GA",4200
"Washington, DC",3480
"Seattle, WA",3375
"Mountain View, CA",2967
"San Jose, CA",2215
"Salt Lake City, UT",1518
"Montreal, QC",1515
"Cardiff, Wales, Wales",1514
"Coventry, England, England",1320
"San Antonio, TX",1212
"San Diego, CA",1150
Warsaw,1027
"Saint Louis, MO",1013
"Bellevue, WA",915
"Pleasanton, CA",649
"Santa Clara, CA",609
"Mississauga, ON",586
"Ottawa, ON",582
"Kansas City, MO",483
"Manchester City Centre, England, England",476
"Walldorf, Baden-Wurttemberg, Baden-Wurttemberg",460
"Perth, Western Australia, Western Australia",452
"Newark, DE",438
"Warrington, North West England, England, England",433
"Sacramento, CA",414
"Stoke-on-Trent, England, England",394
Santiago,381
"Swansea, Wales, Wales",380
"Milwaukee, WI",373
"Edmonton, AB",362
"Watford, East of England, England, England",362
Galway,347
"San Jose, San Jose, San Jose",305
Thiruvananthapuram,292
"Costa Mesa, CA",245
"Santa Monica, CA",234
"Salford, North West England, England, England",224
"Newport, Newport, Wales, Wales",212
"Newark, NJ",207
"Tulsa, OK",202
"Waltham, MA",201
Visakhapatnam,199
"Brentford, England, England",180
"Salisbury, England, England",179
"Warwick, West Midlands, England, England",177
"Wakefield, England, England",173
"San Mateo, CA",171
"South San Francisco, CA",167
"Canterbury, England, England",150
"Taunton, England, England",149
"Montvale, NJ",146
"Iowa City, IA",144
"Wrexham, Wales, Wales",144
"Waterloo, ON",142
"Warren, NJ",130
"Spokane, WA",128
Saint Petersburg,122
"Huntingdon, England, England",122
Central,121
"Ashford, Kent, South East England, England, England",110
"Kirkland, WA",109
Casablanca,108
"Saint Albans, England, England",106
"San Juan, PR",106
"Saint Petersburg, FL",102
"Havant, England, England",100
"Tacoma, WA",96
"Victoria, BC",96
"Plantation, FL",89
"Fort Wayne, IN",88
"Walsall, England, England",87
"Fremont, CA",87
"New Brunswick, NJ",86
"Norwalk, CT",83
"Monterrey, Nuevo León, Nuevo León",81
"Saint Paul, MN",80
"Winston-Salem, NC",80
"San Ramon, CA",79
"Mettawa, IL",74
"Scunthorpe, England, England",72
"Mahwah, NJ",71
"Mesa, AZ",71
"Savannah, GA",69
"Cheshunt, England, England",68
"Wentzville, MO",68
"Santa Ana, CA",68
"Upper Saddle River, NJ",67
"Newark on Trent, England, England",67
"Pasadena, CA",63
"Huntsville, AL",63
"Ontario, CA",62
"Saskatoon, SK",61
Kuwait City,60
"Saint Helens, West Midlands, England, England",60
"Acton, London, England, England",59
"Centennial, CO",57
"Walnut Creek, CA",56
"Vancouver, WA",56
"Belo Horizonte, Minas Gerais, Minas Gerais",56
"Brentwood, England, England",56
"Santa Barbara, CA",55
"Ware, England, England",55
"Clearwater, FL",53
"Salinas, CA",52
Thessaloníki,52
"Chesapeake, VA",51
"Huntington Beach, CA",51
Montevideo,50
"Dar es Salaam, Dar es Salaam, Dar es Salaam",50
"Powai, Maharashtra, Maharashtra",49
"Allentown, PA",49
"Kansas City, KS",49
"Aventura, FL",49
Ḩawallī,48
"Issaquah, WA",48
"Bangor, Gwynedd, Wales, Wales",48
Santo Domingo,48
"Pensacola, FL",46
"Flint, MI",46
"Sandy, UT",46
"San Bernardino, CA",42
"Bridgewater, NJ",41
"Teesside County Borough, England, England",41
"North Acton, England, England",40
"Bridgend, Wales, Wales",39
"Santa Clarita, CA",39
Bhubaneshwar,39
"Denton, TX",38
"North Toronto, ON",38
"Piscataway, NJ",38
"Zaventem, Flemish Brabant",37
"Wandsworth, England, England",37
"Sarasota, FL",37
"Victoria, England, England",37
"Kent, WA",37
"San Bruno, CA",37
"Lusaka, Lusaka, Lusaka",37
Tashkent,37
"Grantham, England, England",36
"Lausanne, Vaud",36
"Christchurch, Canterbury",36
"South Elmsall, England, England",35
"Belmont, CA",35
"Morgantown, WV",35
"Wavre, Walloon Brabant",35
"Aberystwyth, Wales, Wales",35
"Haywards Heath, England, England",35
"Cwmbran, Wales, Wales",34
"Mount Laurel, NJ",34
Waterford,34
"North Watford, England, England",34
"San Francisco, Heredia, Heredia",33
"Salem, NH",33
"Braintree, England, England",33
"Southwark, England, England",33
"Caerphilly, Wales, Wales",33
"Bentonville, AR",33
"Montgomery, AL",33
"Daventry, England, England",33
"Renton, WA",33
"Burton upon Trent, England, England",32
"Salem, OR",32
"Antrim, Northern Ireland, Northern Ireland",32
"Covent Garden, England, England",31
"Santa Rosa, CA",31
"Antwerp, Antwerp",31
"Fontana, CA",31
"Saint Austell, England, England",31
"Waukesha, WI",31
"Wayne, NJ",31
"Wath upon Dearne, England, England",31
Nassau,30
"Saratoga Springs, NY",30
"Waterlooville, England, England",30
"Bridgwater, England, England",30
"Saint John, NB",30
Sandton,30
"Rhyl, Wales, Wales",29
"Llandudno, Wales, Wales",29
"Clacton-on-Sea, England, England",29
"El Salto, Jalisco, Jalisco",28
"Kennesaw, GA",28
"Llanelli, Wales, Wales",27
"Sammamish, WA",27
"Braintree, MA",27
"Bothell, WA",27
"Bellingham, WA",27
"Lynnwood, WA",26
"Diegem, Flemish Brabant",26
"West Seattle, WA",26
"Pontefract, England, England",26
"Waco, TX",26
Vicente López,26
Guwahati,26
"Medellín, Antioquia, Antioquia",26
"Hayward, CA",26
"Washington, North East England, England, England",26
South Twenty Four Parganas,25
Sarajevo,25
"Mishawaka, IN",25
"Milpitas, CA",25
"Warren, MI",25
"Rosemont, IL",25
"Canton, OH",25
"Carpinteria, CA",24
"Merthyr Tydfil, Wales, Wales",24
"Oshawa, ON",24
"Chantilly, VA",24
"Ypsilanti, MI",24
Jerusalem,24
"High Point, NC",24
"Clinton Township, MI",23
"Barry, Wales, Wales",23
"Monterey, CA",23
"Beaumont, TX",23
"Saginaw, MI",23
"Ventura, CA",22
"Hamilton, Waikato",22
"Sandhurst, Hampshire, South East England, England, England",21
"San Luis Obispo, CA",21
"Carmarthen, Wales, Wales",21
"Canton, MI",21
"Haverfordwest, Wales, Wales",20
Damansara,20
"Sale, England, England",20
"Toronto, PE",20
"Century City, CA",20
"West Sacramento, CA",20
"Warminster, England, England",20
"Biggleswade, England, England",20
"Watford, East Midlands, England, England",19
"Mount Pleasant, SC",19
"Longmont, CO",19
North Twenty Four Parganas,19
"Rickmansworth, England, England",19
"Olympia, WA",19
Wan Chai,19
"Victorville, CA",19
"Suwanee, GA",19
"Everett, WA",19
"Kuching, Sarawak, Sarawak",19
"Ōsaka, Osaka, Osaka",19
"Sarnia, ON",19
"Walton-on-Thames, England, England",18
"San Carlos, CA",18
"Tukwila, WA",18
"Santa Fe, NM",18
"Waukegan, IL",18
"Prestatyn, Wales, Wales",18
"Thousand Oaks, CA",18
"Chepstow, Wales, Wales",18
"Manassas, VA",18
"Santa Cruz, CA",17
"Saint Cloud, MN",17
"Federal Way, WA",17
"Visalia, CA",17
"Puyallup, WA",17
"Walthamstow, England, England",16
"Paignton, England, England",16
"Waterloo, Walloon Brabant",16
"Scranton, PA",16
"Wayne, PA",16
"Sanford, FL",16
"Salvador, Bahia, Bahia",16
"Tuscaloosa, AL",16
"Normanton, Yorkshire and the Humber, England, England",16
"Winter Park, FL",16
"Bradenton, FL",15
"Huntington, WV",15
"Conway, AR",15
"San Marcos, TX",15
"Saint Peters, MO",15
Blantyre,15
"East Brunswick, NJ",15
"Saint Charles, MO",15
"Neath, Wales, Wales",15
San Salvador,15
"Pontypridd, Wales, Wales",15
"Llantrisant, Rhondda Cynon Taff, Wales, Wales",14
"Newark, CA",14
Sant Cugat del Vallès,14
"Huntington, NY",14
"Yakima, WA",14
Hinjewadi,14
"Pasadena, TX",14
"Pullman, WA",14
"Fort Washington, PA",14
"Warner Robins, GA",14
"Abuja, Federal Capital Territory, Federal Capital Territory",14
"Brantford, ON",14
"Trenton, NJ",14
"Aberdare, Wales, Wales",14
"Germantown, MD",13
"Rockaway, NJ",13
"Canton, MS",13
"Brunswick, GA",13
"Sandy, England, England",13
Rāwalpindi,13
"Atlantic City, NJ",13
"North Atlanta, GA",13
"Delaware, OH",13
"Mentor, OH",13
"Saint Louis Park, MN",13
"Victor, NY",13
Zola Predosa,13
Pyrmont,12
"Norwalk, CA",12
"Newtown, Wales, Wales",12
Saint Helier,12
"Wallsend, England, England",12
"Watertown, NY",12
"Ghent, East Flanders",12
"Clermont, FL",12
"Saint Augustine, FL",12
"Wauwatosa, WI",12
Saggart,12
"Saint Andrews, Scotland, Scotland",11
"Odessa, TX",11
"Mount Pleasant, MI",11
"Saint Joseph, MO",11
"Encinitas, CA",11
"San Clemente, CA",11
"Wallington, London, England, England",11
