,city
Sydney,9412
Melbourne,7361
Brisbane,2951
Perth,2026
Adelaide,1195
ACT,884
"Newcastle, Maitland & Hunter",558
Gold Coast,530
Geelong & Great Ocean Road,297
Darwin,254
Mackay & Coalfields,252
Cairns & Far North,239
Sunshine Coast,236
"Wollongong, Illawarra & South Coast",230
Townsville & Northern QLD,224
"Port Hedland, Karratha & Pilbara",217
Hobart,181
Gosford & Central Coast,165
Toowoomba & Darling Downs,160
Rockhampton & Capricorn Coast,126
Blue Mountains & Central West,117
"Kalgoorlie, Goldfields & Esperance",114
Lismore & Far North Coast,113
"Bendigo, Goldfields & Macedon Ranges",113
Mt Isa & Western QLD,108
Tamworth & North West NSW,103
Ballarat & Central Highlands,99
Wagga Wagga & Riverina,96
Gladstone & Central QLD,87
Shepparton & Goulburn Valley,85
Dubbo & Central NSW,82
Mornington Peninsula & Bass Coast,79
Bairnsdale & Gippsland,77
Bunbury & South West,74
Albury Wodonga & Murray,71
Bundaberg & Wide Bay Burnett,61
Goulburn & Southern Tablelands,61
Launceston & North East,60
Coffs Harbour & North Coast,57
Traralgon & La Trobe Valley,56
"Geraldton, Gascoyne & Midwest",54
Port Macquarie & Mid North Coast,54
Yarra Valley & High Country,52
Mildura & Murray,50
Hervey Bay & Fraser Coast,49
Whyalla & Eyre Peninsula,43
Broome & Kimberley,43
Alice Springs & Central Australia,43
Devonport & North West,39
Adelaide Hills & Barossa,39
Katherine & Northern Australia,38
Horsham & Grampians,37
Northam & Wheatbelt,34
Far West & North Central NSW,27
Mt Gambier & Limestone Coast,26
Mandurah & Peel,26
Yorke Peninsula & Clare Valley,25
Riverland & Murray Mallee,21
Coober Pedy & Outback SA,19
Richmond & Hawkesbury,17
"Tumut, Southern Highlands & Snowy",15
Albany & Great Southern,13
Fleurieu Peninsula & Kangaroo Island,11
Somerset & Lockyer,10
Central & South East,4
