,City,country,Latitude,Longitude,Location,State,State Code
0,San Francisco,United States,37.7790262,-122.419906,"San Francisco, CA",California,CA
1,Redmond,Australia,-34.8888587,117.6920291,"Redmond, WA",Western Australia,WA
2,Toronto,Canada,43.6534817,-79.3839347,"Toronto, ON",Ontario,ON
3,Atlanta,United States,33.7489924,-84.3902644,"Atlanta, GA",Georgia,GA
4,Washington,United States,38.8983696,-77.0058628,"Washington, DC",District of Columbia,DC
5,Seattle,United States,47.6038321,-122.330062,"Seattle, WA",Washington,WA
6,Mountain View,United States,37.3893889,-122.0832101,"Mountain View, CA",California,CA
7,San Jose,United States,37.3361663,-121.890591,"San Jose, CA",California,CA
8,Salt Lake City,United States,40.7596198,-111.8867975,"Salt Lake City, UT",Utah,UT
9,Montreal,Canada,45.5031824,-73.5698065,"Montreal, QC",Quebec,QC
10,Newcastle-Maitland,Australia,-32.9416524,151.6628275,"Cardiff, Wales, Wales",New South Wales,NSW
11,Coventry,United Kingdom,52.4081812,-1.510477,"Coventry, England, England",England,ENG
12,San Antonio,United States,29.4246002,-98.4951405,"San Antonio, TX",Texas,TX
13,San Diego,United States,32.7174202,-117.1627728,"San Diego, CA",California,CA
14,Saint Louis,United States,38.6319657,-90.2428756,"Saint Louis, MO",Missouri,MO
15,Bellevue,United States,47.6144219,-122.192337,"Bellevue, WA",Washington,WA
16,Pleasanton,United States,37.6624312,-121.8746789,"Pleasanton, CA",California,CA
17,Santa Clara,United States,37.3541132,-121.955174,"Santa Clara, CA",California,CA
18,Mississauga,Canada,43.5896231,-79.6443879,"Mississauga, ON",Ontario,ON
19,Ottawa,Canada,45.4208777,-75.6901106,"Ottawa, ON",Ontario,ON
20,Kansas City,United States,39.100105,-94.5781416,"Kansas City, MO",Missouri,MO
21,Manchester,United Kingdom,53.479451,-2.244828,"Manchester City Centre, England, England",England,ENG
22,Walldorf,Germany,49.3038134,8.6433518,"Walldorf, Baden-Wurttemberg, Baden-Wurttemberg",Baden-Württemberg,BW
23,Perth,Australia,-31.9558964,115.8605801,"Perth, Western Australia, Western Australia",Western Australia,WA
24,Newark,United States,39.6775927,-75.7630866,"Newark, DE",Delaware,DE
25,Warrington,United Kingdom,53.393836,-2.591124,"Warrington, North West England, England, England",England,ENG
26,Sacramento,United States,38.5810606,-121.493895,"Sacramento, CA",California,CA
27,Stoke-on-Trent,United Kingdom,53.0162014,-2.1812607,"Stoke-on-Trent, England, England",England,ENG
28,Milwaukee,United States,43.0349931,-87.922497,"Milwaukee, WI",Wisconsin,WI
29,Watford,United Kingdom,51.667566,-0.407563,"Watford, East of England, England, England",England,ENG
30,Edmonton,Canada,53.5462055,-113.491241,"Edmonton, AB",Alberta,AB
31,Galway City,Ireland,53.2744122,-9.0490601,Galway,Connacht,C
32,San Jose,United States,37.3299203,-121.902496,"San Jose, San Jose, San Jose",California,CA
33,Thiruvananthapuram,India,8.4882267,76.947551,Thiruvananthapuram,Kerala,KL
34,Costa Mesa,United States,33.6633386,-117.903317,"Costa Mesa, CA",California,CA
35,Santa Monica,United States,34.0194704,-118.491227,"Santa Monica, CA",California,CA
36,Salford,United Kingdom,53.49766,-2.382135,"Salford, North West England, England, England",England,ENG
37,Newport,United Kingdom,52.01716595,-4.832076568883471,"Newport, Newport, Wales, Wales",Wales,WLS
38,Newark,United States,40.735657,-74.1723667,"Newark, NJ",New Jersey,NJ
