Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 4,1111,,Chief Executives and Managing Directors,"Chief Executives and Managing Directors determine, formulate and review the general policy programs and the overall direction of organisations within the framework established by boards of directors and similar governing bodies."
ANZSCO 4,1112,,General Managers,"General Managers plan, organise, direct, control and review the day-to-day operations and major functions of commercial, industrial, government and defence organisations through departmental managers and subordinate executives."
ANZSCO 4,1213,,Livestock Farmers,"Livestock Farmers plan, organise, control, coordinate and perform farming operations to breed and raise livestock for the production of breeding stock, milk, eggs, meat, honey, wool and hair."
ANZSCO 4,1321,,Corporate Services Managers,"Corporate Services Managers plan, organise, direct, control and coordinate the overall administration of organisations."
ANZSCO 4,1322,,Finance Managers,"Finance Managers plan, organise, direct, control and coordinate the financial and accounting activities within organisations."
ANZSCO 4,1323,,Human Resource Managers,"Human Resource Managers plan, organise, direct, control and coordinate the human resource and workplace relations activities within organisations."
ANZSCO 4,1324,,Policy and Planning Managers,"Policy and Planning Managers plan, organise, direct, control and coordinate policy advice and strategic planning within organisations."
ANZSCO 4,1325,,Research and Development Managers,"Research and Development Managers plan, organise, direct, control and coordinate research and development activities within organisations."
ANZSCO 4,1331,,Construction Managers,"Construction Managers plan, organise, direct, control and coordinate the construction of engineering projects or buildings and dwellings, and the physical and human resources involved in building and construction."
ANZSCO 4,1332,,Engineering Managers,"Engineering Managers plan, organise, direct, control and coordinate the engineering and technical operations of organisations."
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers plan, organise, direct, control and coordinate the operations of importing, exporting and wholesaling establishments."
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers","Supply, Distribution and Procurement Managers plan, organise, direct, control and coordinate the supply, storage and distribution of goods, products and services produced and used by organisations."
ANZSCO 4,1341,,Child Care Centre Managers,"Child Care Centre Managers plan, organise, direct, control and coordinate the activities of childcare centres and services including physical and human resources."
ANZSCO 4,1342,,Health and Welfare Services Managers,"Health and Welfare Services Managers plan, organise, direct, control and coordinate the professional and administrative aspects of health and welfare programs and services."
ANZSCO 4,1343,,School Principals,"School Principals plan, organise, direct, control and coordinate the educational and administrative aspects of primary, middle or intermediate, and secondary schools including physical and human resources."
ANZSCO 4,1344,,Other Education Managers,"Other Education Managers plan, organise, direct, control and coordinate educational policy, and provide advice and educational and administrative support to staff and students in educational institutions."
ANZSCO 4,1351,,ICT Managers,"ICT Managers plan, organise, direct, control and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems within organisations."
ANZSCO 4,1411,,Cafe and Restaurant Managers,"Cafe and Restaurant Managers organise and control the operations of cafes, restaurants and related establishments to provide dining and catering services."
ANZSCO 4,1413,,Hotel and Motel Managers,"Hotel and Motel Managers organise and control the operations of hotels and motels to provide guest accommodation, meals and other services."
ANZSCO 4,1414,,Licensed Club Managers,"Licensed Club Managers organise and control the operations of licensed clubs to provide food, beverages, gaming, entertainment, sporting and other amenities for members."
ANZSCO 4,1421,,Retail Managers,Retail Managers organise and control the operations of establishments which provide retail services.
