Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Core Competency,Score,Proficiency Level,Anchor Value,Core Competency ID
ANZSCO 4,1111,,Chief Executives and Managing Directors,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef,105
ANZSCO 4,1111,,Chief Executives and Managing Directors,Learning,8,High,Develop and implement a new business strategy based on changing market conditions,106
ANZSCO 4,1111,,Chief Executives and Managing Directors,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals,107
ANZSCO 4,1111,,Chief Executives and Managing Directors,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities.",108
ANZSCO 4,1111,,Chief Executives and Managing Directors,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1111,,Chief Executives and Managing Directors,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work,110
ANZSCO 4,1111,,Chief Executives and Managing Directors,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1111,,Chief Executives and Managing Directors,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1111,,Chief Executives and Managing Directors,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1111,,Chief Executives and Managing Directors,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1112,,General Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1112,,General Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1112,,General Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1112,,General Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1112,,General Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1112,,General Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1112,,General Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1112,,General Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1112,,General Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1112,,General Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1213,,Livestock Farmers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1213,,Livestock Farmers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1213,,Livestock Farmers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1213,,Livestock Farmers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)",102
ANZSCO 4,1213,,Livestock Farmers,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction",103
ANZSCO 4,1213,,Livestock Farmers,Writing,6,Intermediate,Write a memo to staff outlining new directives,104
ANZSCO 4,1213,,Livestock Farmers,Reading,6,Intermediate,Read a memo from management describing new personnel policies,105
ANZSCO 4,1213,,Livestock Farmers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1213,,Livestock Farmers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1213,,Livestock Farmers,Oral communication,6,Intermediate,Give instructions to a lost driver,108
ANZSCO 4,1321,,Corporate Services Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1321,,Corporate Services Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1321,,Corporate Services Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1321,,Corporate Services Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
