Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Technology Tool,Emerging/Trending,Technology Tool ID
ANZSCO 4,1111,,Chief Executives and Managing Directors,Enterprise resource planning ERP software,,31025
ANZSCO 4,1111,,Chief Executives and Managing Directors,Project management software,,31056
ANZSCO 4,1111,,Chief Executives and Managing Directors,Accounting software,,31001
ANZSCO 4,1111,,Chief Executives and Managing Directors,Business intelligence and decision support software,,31010
ANZSCO 4,1112,,General Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1112,,General Managers,Business intelligence and decision support software,,31010
ANZSCO 4,1112,,General Managers,Statistical and data analysis software,,31066
ANZSCO 4,1112,,General Managers,Customer relationship management CRM software,,31015
ANZSCO 4,1213,,Livestock Farmers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1213,,Livestock Farmers,GPS and navigation technologies,,31032
ANZSCO 4,1321,,Corporate Services Managers,Enterprise resource planning ERP software,Trending,31025
ANZSCO 4,1321,,Corporate Services Managers,Business intelligence and decision support software,,31010
ANZSCO 4,1321,,Corporate Services Managers,Project management software,,31056
ANZSCO 4,1321,,Corporate Services Managers,Customer relationship management CRM software,,31015
ANZSCO 4,1321,,Corporate Services Managers,Document management and code versioning software,Trending,31020
ANZSCO 4,1322,,Finance Managers,Enterprise resource planning ERP software,Trending,31025
ANZSCO 4,1322,,Finance Managers,Business intelligence and decision support software,,31010
ANZSCO 4,1322,,Finance Managers,Audio/video conferencing software,,31005
ANZSCO 4,1322,,Finance Managers,Financial analysis software,,31029
ANZSCO 4,1322,,Finance Managers,Accounting software,,31001
ANZSCO 4,1323,,Human Resource Managers,Document management and code versioning software,,31020
ANZSCO 4,1323,,Human Resource Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1323,,Human Resource Managers,Social media platforms,,31063
ANZSCO 4,1323,,Human Resource Managers,Financial analysis software,,31029
ANZSCO 4,1323,,Human Resource Managers,Human resources software,,31035
ANZSCO 4,1324,,Policy and Planning Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1324,,Policy and Planning Managers,Project management software,,31056
ANZSCO 4,1324,,Policy and Planning Managers,Content workflow software,,31013
ANZSCO 4,1324,,Policy and Planning Managers,Business intelligence and decision support software,,31010
ANZSCO 4,1324,,Policy and Planning Managers,Software development and programming languages,,31064
ANZSCO 4,1325,,Research and Development Managers,Graphics or photo imaging software,,31033
ANZSCO 4,1325,,Research and Development Managers,Business intelligence and decision support software,,31010
ANZSCO 4,1325,,Research and Development Managers,Project management software,,31056
ANZSCO 4,1325,,Research and Development Managers,Database management software,,31017
ANZSCO 4,1325,,Research and Development Managers,Statistical and data analysis software,,31066
ANZSCO 4,1331,,Construction Managers,Project management software,,31056
ANZSCO 4,1331,,Construction Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1331,,Construction Managers,Business intelligence and decision support software,,31010
ANZSCO 4,1331,,Construction Managers,Graphics or photo imaging software,,31033
ANZSCO 4,1331,,Construction Managers,Technical design and modelling software (2D and 3D),,31067
ANZSCO 4,1332,,Engineering Managers,Software development and programming languages,,31064
ANZSCO 4,1332,,Engineering Managers,Project management software,,31056
ANZSCO 4,1332,,Engineering Managers,Database management software,,31017
ANZSCO 4,1332,,Engineering Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1332,,Engineering Managers,Application server software,,31004
ANZSCO 4,1332,,Engineering Managers,Business intelligence and decision support software,Trending,31010
ANZSCO 4,1332,,Engineering Managers,Configuration management software,Emerging,31012
ANZSCO 4,1332,,Engineering Managers,Content workflow software,,31013
ANZSCO 4,1332,,Engineering Managers,Technical design and modelling software (2D and 3D),Trending,31067
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Enterprise resource planning ERP software,,31025
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Inventory management software,,31039
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Accounting software,,31001
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Business intelligence and decision support software,,31010
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Customer relationship management CRM software,,31015
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers","Materials requirements planning, logistics and supply chain software",,31042
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Enterprise resource planning ERP software,Trending,31025
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Financial analysis software,,31029
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Inventory management software,,31039
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Project management software,,31056
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Graphics or photo imaging software,,31033
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Customer relationship management CRM software,,31015
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers","Materials requirements planning, logistics and supply chain software",,31042
ANZSCO 4,1341,,Child Care Centre Managers,Accounting software,,31001
ANZSCO 4,1341,,Child Care Centre Managers,Social media platforms,Emerging,31063
ANZSCO 4,1342,,Health and Welfare Services Managers,Project management software,,31056
ANZSCO 4,1342,,Health and Welfare Services Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1342,,Health and Welfare Services Managers,Patient management systems and electronic health records,,31052
ANZSCO 4,1343,,School Principals,Statistical and data analysis software,,31066
