Major Group,Sub-Major Group,Minor Group,Unit Group,Unit Group Description,Skill Level(s),
1,11,111,1111,Chief Executives and Managing Directors,1,
1,11,111,1112,General Managers,1,
1,11,111,1113,Legislators,1,
1,12,121,1211,Aquaculture Farmers,1,
1,12,121,1212,Crop Farmers,1,
1,12,121,1213,Livestock Farmers,1,
1,12,121,1214,Mixed Crop and Livestock Farmers,1,
1,13,131,1311,"Advertising, Public Relations and Sales Managers",1,
1,13,132,1321,Corporate Services Managers,1,
1,13,132,1322,Finance Managers,1,
1,13,132,1323,Human Resource Managers,1,
1,13,132,1324,Policy and Planning Managers,1,
1,13,132,1325,Research and Development Managers,1,
1,13,133,1331,Construction Managers,1,
1,13,133,1332,Engineering Managers,1,
1,13,133,1333,"Importers, Exporters and Wholesalers",1,
1,13,133,1334,Manufacturers,1,
1,13,133,1335,Production Managers,1,
1,13,133,1336,"Supply, Distribution and Procurement Managers",1,
1,13,134,1341,Child Care Centre Managers,1,
1,13,134,1342,Health and Welfare Services Managers,1,
1,13,134,1343,School Principals,1,
1,13,134,1344,Other Education Managers,1,
1,13,135,1351,ICT Managers,1,
1,13,139,1391,Commissioned Officers (Management),1,
1,13,139,1392,Senior Non-commissioned Defence Force Members,1,
1,13,139,1399,Other Specialist Managers,1,
1,14,141,1411,Cafe and Restaurant Managers,2,
1,14,141,1412,Caravan Park and Camping Ground Managers,2,
1,14,141,1413,Hotel and Motel Managers,2,
1,14,141,1414,Licensed Club Managers,2,
1,14,141,1419,Other Accommodation and Hospitality Managers,2,
1,14,142,1421,Retail Managers,2,
1,14,149,1491,"Amusement, Fitness and Sports Centre Managers",2,
1,14,149,1492,Call or Contact Centre and Customer Service Managers,2,
1,14,149,1493,Conference and Event Organisers,2,
1,14,149,1494,Transport Services Managers,2,
1,14,149,1499,"Other Hospitality, Retail and Service Managers",2,
2,21,211,2111,"Actors, Dancers and Other Entertainers",1,
2,21,211,2112,Music Professionals,1,
2,21,211,2113,Photographers,2,
2,21,211,2114,Visual Arts and Crafts Professionals,"1,2",
2,21,212,2121,"Artistic Directors, and Media Producers and Presenters",1,
2,21,212,2122,"Authors, and Book and Script Editors",1,
2,21,212,2123,"Film, Television, Radio and Stage Directors",1,
2,21,212,2124,Journalists and Other Writers,1,
2,22,221,2211,Accountants,1,
2,22,221,2212,"Auditors, Company Secretaries and Corporate Treasurers",1,
2,22,222,2221,Financial Brokers,2,
2,22,222,2222,Financial Dealers,"1 Aus,2 NZ",
2,22,222,2223,Financial Investment Advisers and Managers,"1 Aus,2 NZ",
2,22,223,2231,Human Resource Professionals,1,
2,22,223,2232,ICT Trainers,1,
2,22,223,2233,Training and Development Professionals,1,
2,22,224,2241,"Actuaries, Mathematicians and Statisticians",1,
2,22,224,2242,"Archivists, Curators and Records Managers",1,
2,22,224,2243,Economists,1,
2,22,224,2244,Intelligence and Policy Analysts,1,
2,22,224,2245,Land Economists and Valuers,1,
2,22,224,2246,Librarians,1,
2,22,224,2247,Management and Organisation Analysts,1,
2,22,224,2249,Other Information and Organisation Professionals,1,
2,22,225,2251,Advertising and Marketing Professionals,1,
2,22,225,2252,ICT Sales Professionals,1,
2,22,225,2253,Public Relations Professionals,1,
2,22,225,2254,Technical Sales Representatives,1,
2,23,231,2311,Air Transport Professionals,1,
2,23,231,2312,Marine Transport Professionals,2,
2,23,232,2321,Architects and Landscape Architects,1,
2,23,232,2322,Surveyors and Spatial Scientists,1,
2,23,232,2323,"Fashion, Industrial and Jewellery Designers",1,
2,23,232,2324,"Graphic and Web Designers, and Illustrators",1,
2,23,232,2325,Interior Designers,2,
2,23,232,2326,Urban and Regional Planners,1,
2,23,233,2331,Chemical and Materials Engineers,1,
2,23,233,2332,Civil Engineering Professionals,1,
2,23,233,2333,Electrical Engineers,1,
2,23,233,2334,Electronics Engineers,1,
2,23,233,2335,"Industrial, Mechanical and Production Engineers",1,
2,23,233,2336,Mining Engineers,1,
2,23,233,2339,Other Engineering Professionals,1,
2,23,234,2341,Agricultural and Forestry Scientists,1,
2,23,234,2342,"Chemists, and Food and Wine Scientists",1,
2,23,234,2343,Environmental Scientists,1,
2,23,234,2344,"Geologists, Geophysicists and Hydrogeologists",1,
2,23,234,2345,Life Scientists,1,
2,23,234,2346,Medical Laboratory Scientists,1,
2,23,234,2347,Veterinarians,1,
2,23,234,2349,Other Natural and Physical Science Professionals,1,
2,24,241,2411,Early Childhood (Pre-primary School) Teachers,1,
2,24,241,2412,Primary School Teachers,1,
2,24,241,2413,Middle School Teachers \ Intermediate School Teachers,1,
2,24,241,2414,Secondary School Teachers,1,
2,24,241,2415,Special Education Teachers,1,
2,24,242,2421,University Lecturers and Tutors,1,
2,24,242,2422,Vocational Education Teachers \ Polytechnic Teachers,1,
2,24,249,2491,Education Advisers and Reviewers,1,
2,24,249,2492,Private Tutors and Teachers,1,
2,24,249,2493,Teachers of English to Speakers of Other Languages,1,
2,25,251,2511,Nutrition Professionals,1,
2,25,251,2512,Medical Imaging Professionals,1,
2,25,251,2513,Occupational and Environmental Health Professionals,1,
2,25,251,2514,Optometrists and Orthoptists,1,
2,25,251,2515,Pharmacists,1,
2,25,251,2519,Other Health Diagnostic and Promotion Professionals,1,
2,25,252,2521,Chiropractors and Osteopaths,1,
2,25,252,2522,Complementary Health Therapists,1,
2,25,252,2523,Dental Practitioners,1,
2,25,252,2524,Occupational Therapists,1,
2,25,252,2525,Physiotherapists,1,
2,25,252,2526,Podiatrists,1,
2,25,252,2527,Audiologists and Speech Pathologists \ Therapists,1,
2,25,253,2531,General Practitioners and Resident Medical Officers,1,
2,25,253,2532,Anaesthetists,1,
2,25,253,2533,Specialist Physicians,1,
2,25,253,2534,Psychiatrists,1,
2,25,253,2535,Surgeons,1,
2,25,253,2539,Other Medical Practitioners,1,
2,25,254,2541,Midwives,1,
2,25,254,2542,Nurse Educators and Researchers,1,
2,25,254,2543,Nurse Managers,1,
2,25,254,2544,Registered Nurses,1,
2,26,261,2611,ICT Business and Systems Analysts,1,
2,26,261,2612,Multimedia Specialists and Web Developers,1,
2,26,261,2613,Software and Applications Programmers,1,
2,26,262,2621,"Database and Systems Administrators, and ICT Security Specialists",1,
2,26,263,2631,Computer Network Professionals,1,
2,26,263,2632,ICT Support and Test Engineers,1,
2,26,263,2633,Telecommunications Engineering Professionals,1,
2,27,271,2711,Barristers,1,
2,27,271,2712,Judicial and Other Legal Professionals,1,
2,27,271,2713,Solicitors,1,
2,27,272,2721,Counsellors,1,
2,27,272,2722,Ministers of Religion,1,
2,27,272,2723,Psychologists,1,
2,27,272,2724,Social Professionals,1,
2,27,272,2725,Social Workers,1,
2,27,272,2726,"Welfare, Recreation and Community Arts Workers",1,
3,31,311,3111,Agricultural Technicians,2,
3,31,311,3112,Medical Technicians,"2,3",
3,31,311,3113,Primary Products Inspectors,2,
3,31,311,3114,Science Technicians,2,
3,31,312,3121,"Architectural, Building and Surveying Technicians",2,
3,31,312,3122,Civil Engineering Draftspersons and Technicians,2,
3,31,312,3123,Electrical Engineering Draftspersons and Technicians,2,
3,31,312,3124,Electronic Engineering Draftspersons and Technicians,2,
3,31,312,3125,Mechanical Engineering Draftspersons and Technicians,2,
3,31,312,3126,Safety Inspectors,2,
3,31,312,3129,Other Building and Engineering Technicians,2,
3,31,313,3131,ICT Support Technicians,2,
3,31,313,3132,Telecommunications Technical Specialists,2,
3,32,321,3211,Automotive Electricians,3,
3,32,321,3212,Motor Mechanics,3,
3,32,322,3221,"Metal Casting, Forging and Finishing Trades Workers",3,
3,32,322,3222,Sheetmetal Trades Workers,3,
3,32,322,3223,Structural Steel and Welding Trades Workers,3,
3,32,323,3231,Aircraft Maintenance Engineers,3,
3,32,323,3232,Metal Fitters and Machinists,3,
3,32,323,3233,Precision Metal Trades Workers,3,
3,32,323,3234,Toolmakers and Engineering Patternmakers,3,
3,32,324,3241,Panelbeaters,3,
3,32,324,3242,Vehicle Body Builders and Trimmers,3,
3,32,324,3243,Vehicle Painters,3,
3,33,331,3311,Bricklayers and Stonemasons,3,
3,33,331,3312,Carpenters and Joiners,3,
3,33,332,3321,Floor Finishers,3,
3,33,332,3322,Painting Trades Workers,3,
3,33,333,3331,Glaziers,3,
3,33,333,3332,Plasterers,3,
3,33,333,3333,Roof Tilers,3,
3,33,333,3334,Wall and Floor Tilers,3,
3,33,334,3341,Plumbers,3,
3,34,341,3411,Electricians,3,
3,34,342,3421,Airconditioning and Refrigeration Mechanics,3,
3,34,342,3422,Electrical Distribution Trades Workers,3,
3,34,342,3423,Electronics Trades Workers,3,
3,34,342,3424,Telecommunications Trades Workers,3,
3,35,351,3511,Bakers and Pastrycooks,3,
3,35,351,3512,Butchers and Smallgoods Makers,3,
3,35,351,3513,Chefs,2,
3,35,351,3514,Cooks,"3 Aus,4 NZ",
3,36,361,3611,Animal Attendants and Trainers,"3,4",
3,36,361,3612,Shearers,3,
3,36,361,3613,Veterinary Nurses,3,
3,36,362,3621,Florists,3,
3,36,362,3622,Gardeners,3,
3,36,362,3623,Greenkeepers,3,
3,36,362,3624,Nurserypersons,3,
3,39,391,3911,Hairdressers,3,
3,39,392,3921,Print Finishers and Screen Printers,3,
3,39,392,3922,Graphic Pre-press Trades Workers,3,
3,39,392,3923,Printers,3,
3,39,393,3931,Canvas and Leather Goods Makers,3,
3,39,393,3932,Clothing Trades Workers,3,
3,39,393,3933,Upholsterers,3,
3,39,394,3941,Cabinetmakers,3,
3,39,394,3942,Wood Machinists and Other Wood Trades Workers,3,
3,39,399,3991,Boat Builders and Shipwrights,3,
3,39,399,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",3,
3,39,399,3993,"Gallery, Library and Museum Technicians",2,
3,39,399,3994,Jewellers,3,
3,39,399,3995,Performing Arts Technicians,3,
3,39,399,3996,Signwriters,3,
3,39,399,3999,Other Miscellaneous Technicians and Trades Workers,"2,3,4",
4,41,411,4111,Ambulance Officers and Paramedics,"1,2",
4,41,411,4112,"Dental Hygienists, Technicians and Therapists","1,2",
4,41,411,4113,Diversional Therapists,3,
4,41,411,4114,Enrolled and Mothercraft Nurses,2,
4,41,411,4115,Indigenous Health Workers,2,
4,41,411,4116,Massage Therapists,2,
4,41,411,4117,Welfare Support Workers,2,
4,42,421,4211,Child Carers,"3,4",
4,42,422,4221,Education Aides,"3,4",
4,42,423,4231,Aged and Disabled Carers,4,
4,42,423,4232,Dental Assistants,4,
4,42,423,4233,Nursing Support and Personal Care Workers,4,
4,42,423,4234,Special Care Workers,"3,4",
4,43,431,4311,Bar Attendants and Baristas,4,
4,43,431,4312,Cafe Workers,5,
4,43,431,4313,Gaming Workers,4,
4,43,431,4314,Hotel Service Managers,2,
4,43,431,4315,Waiters,4,
4,43,431,4319,Other Hospitality Workers,5,
4,44,441,4411,Defence Force Members - Other Ranks,3,
4,44,441,4412,Fire and Emergency Workers,3,
4,44,441,4413,Police,2,
4,44,442,4421,Prison Officers,4,
4,44,442,4422,Security Officers and Guards,"3,4,5",
4,45,451,4511,Beauty Therapists,3,
4,45,451,4512,Driving Instructors,3,
4,45,451,4513,Funeral Workers,"2,3",
4,45,451,4514,"Gallery, Museum and Tour Guides","3,4",
4,45,451,4515,Personal Care Consultants,4,
4,45,451,4516,Tourism and Travel Advisers,"3,4",
4,45,451,4517,Travel Attendants,"3,4",
4,45,451,4518,Other Personal Service Workers,"3,4,5",
4,45,452,4521,Fitness Instructors,4,
4,45,452,4522,Outdoor Adventure Guides,"2,3",
4,45,452,4523,"Sports Coaches, Instructors and Officials","2,3,4",
4,45,452,4524,Sportspersons,3,
5,51,511,5111,"Contract, Program and Project Administrators",2,
5,51,512,5121,Office Managers,2,
5,51,512,5122,Practice Managers,2,
5,52,521,5211,Personal Assistants,2,
5,52,521,5212,Secretaries,2,
5,53,531,5311,General Clerks,4,
5,53,532,5321,Keyboard Operators,4,
5,54,541,5411,Call or Contact Centre Workers,"3,4",
5,54,541,5412,Information Officers,4,
5,54,542,5421,Receptionists,4,
5,55,551,5511,Accounting Clerks,4,
5,55,551,5512,Bookkeepers,3,
5,55,551,5513,Payroll Clerks,4,
5,55,552,5521,Bank Workers,3,
5,55,552,5522,Credit and Loans Officers (Aus) \ Finance Clerks (NZ),3,
5,55,552,5523,"Insurance, Money Market and Statistical Clerks",4,
5,56,561,5611,Betting Clerks,5,
5,56,561,5612,Couriers and Postal Deliverers,5,
5,56,561,5613,Filing and Registry Clerks,5,
5,56,561,5614,Mail Sorters,5,
5,56,561,5615,Survey Interviewers,5,
5,56,561,5616,Switchboard Operators,5,
5,56,561,5619,Other Clerical and Office Support Workers,5,
5,59,591,5911,Purchasing and Supply Logistics Clerks,4,
5,59,591,5912,Transport and Despatch Clerks,4,
5,59,599,5991,Conveyancers and Legal Executives,2,
5,59,599,5992,Court and Legal Clerks,3,
5,59,599,5993,Debt Collectors,4,
5,59,599,5994,Human Resource Clerks,4,
5,59,599,5995,Inspectors and Regulatory Officers,4,
5,59,599,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors","2,3",
5,59,599,5997,Library Assistants,4,
5,59,599,5999,Other Miscellaneous Clerical and Administrative Workers,"3,4",
6,61,611,6111,"Auctioneers, and Stock and Station Agents",3,
6,61,611,6112,Insurance Agents,"3 Aus,2 NZ",
6,61,611,6113,Sales Representatives,4,
6,61,612,6121,Real Estate Sales Agents,"2,3",
6,62,621,6211,Sales Assistants (General),5,
6,62,621,6212,ICT Sales Assistants,5,
6,62,621,6213,Motor Vehicle and Vehicle Parts Salespersons,4,
6,62,621,6214,Pharmacy Sales Assistants,4,
6,62,621,6215,Retail Supervisors,4,
6,62,621,6216,Service Station Attendants,5,
6,62,621,6217,Street Vendors and Related Salespersons,5,
6,62,621,6219,Other Sales Assistants and Salespersons,5,
6,63,631,6311,Checkout Operators and Office Cashiers,5,
6,63,639,6391,Models and Sales Demonstrators,5,
6,63,639,6392,Retail and Wool Buyers,3,
6,63,639,6393,Telemarketers,5,
6,63,639,6394,Ticket Salespersons,5,
