firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
ASDA,44231, Technician,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,5,5,5,5,5,5,o,x,o,happy place,"bad furniture, great food. amazing people","hard days, lots of work"
Accor,42483, GSA,Current Employee,"Perth, Western Australia, Western Australia",2,3,4,,2,2,3,x,o,x,GSA Multiple hotels,"Global chain, easy relocation opportunities. some great staff. Good independence working encouraged to self operate.","Every hotel its its own kingdom run differently with different cultures. 

Owners have no real reason to spend money as each hotel is individually owned so they wont benefit from the increase in brand reputation, this results in many run down hotel rooms and facilities. 

Accor prides itself on running hotels cheaper, often at the expense of guest and staff experience, prepare to spend your life apologizing for the owners decision to not upgrade the 15 year old rooms etc. 

Many times  I've seen a promotion offered internally, only for the staff to be told that we no longer require it as a ""manager position"" etc so it will be the same job just no salary increase. Leaving the staff member with an increased work load but no salary increase or even title recognition, lost a few good staff this way."
Accor,43671, Reception,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,o,o,o,stay away,"none- really bad
worse place i have ever worked","poor management
passive aggressive management
greedy management
no work life balance"
Accor,43936, Regional Technical Manager,Current Employee,"Perth, Western Australia, Western Australia",4,4,4,,4,4,4,v,v,r,Good,international hotel company widely recognize,"As a large multinational companies, local approach is not always the focus"
Accor,44144, Anonymous Employee,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",4,3,4,5,4,3,4,v,v,v,Hotel company,"Great place to work, company looks after its people.",Systems can be an issue
Accor,44213, Reservations Agent,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1,1,1,1,1,1,x,x,x,Worst ever- do not go here,There are actually no pros,Many cons- incompetent management- poor working culture
Accor,44246, Night Manager,Current Employee,"Perth, Western Australia, Western Australia",5,4,4,5,5,2,4,v,v,r,Good Company,"Loyal, support development, ethical company",Industry as a whole is low paid
Adecco,42832, Barista,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,4,,3,4,4,v,r,v,"Very friendly staff, had a great time working with everyone","I had to submit employment paperwork from Adecco Melbourne offices for work in Adelaide. The staff in both cities made it easy for me, I then worked for them for over 4 months. Their staff are all top-notch.",I don't remember having any problems.
American-Express,43936, Customer Service Representative,Former Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,American Express International,"Very promising job
Excellent Management
Rewarding job when it comes to salary and comission",Cant say any negative for this company
Aon,44251, Service Specialist,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,v,o,Good,"Nice colleagues, Enjoyable working environment, employee welfare",Not the highest paying company
